SampleRow,R,A,CC,VC,Violates_C1,Violates_C2
110,2.35,65.94,17,6,True,False
112,3.22,83.88,15,5,True,False
113,2.51,30.5,10,4,True,False
115,3.78,60.52,14,4,True,False
116,2.04,45.79,15,7,True,False
117,2.08,70.57,21,4,True,False
118,2.76,47.55,17,4,True,False
120,2.61,42.75,15,6,True,False
123,2.47,85.4,16,7,True,False
125,3.5,72.77,11,5,True,False
128,2.44,52.47,21,9,True,False
129,4.24,83.02,10,4,True,False
130,2.67,61.38,13,4,True,False
131,3.34,53.0,13,4,True,False
133,2.12,37.17,19,6,True,False
134,2.82,46.05,13,6,True,False
136,2.66,43.3,19,4,True,False
139,2.95,67.09,18,7,True,False
140,2.25,58.48,20,7,True,False
143,4.03,63.79,12,5,True,False
145,3.17,72.83,16,7,True,False
146,2.6,62.64,21,6,True,False
148,2.76,88.12,11,4,True,False
149,2.08,33.8,15,4,True,False
151,2.04,89.59,22,7,True,False
153,2.52,74.77,17,4,True,False
157,3.03,75.87,15,5,True,False
159,2.21,65.62,13,4,True,False
160,2.9,56.3,12,5,True,False
162,2.39,32.94,20,6,True,False
164,3.81,35.6,10,4,True,False
168,2.14,81.4,15,6,True,False
170,3.42,69.37,16,4,True,False
175,2.19,30.34,17,7,True,False
181,2.55,87.12,18,5,True,False
183,2.75,63.53,14,5,True,False
184,2.0,54.56,12,4,True,False
187,2.05,61.57,19,8,True,False
190,2.46,76.87,21,4,True,False
192,2.28,51.69,14,5,True,False
193,4.97,41.25,11,4,True,False
194,2.96,32.06,15,4,True,False
196,2.41,57.29,16,6,True,False
198,3.82,56.03,13,4,True,False
199,2.11,42.47,21,8,True,False
200,4.57,62.07,12,4,True,False
201,2.1,83.64,18,4,True,False
204,3.36,65.71,15,6,True,False
205,2.64,59.92,11,5,True,False
207,2.42,68.81,22,8,True,False
209,3.14,45.55,17,7,True,False
210,3.52,89.94,14,6,True,False
212,3.48,47.87,10,4,True,False
213,2.46,35.18,18,8,True,False
215,2.59,77.85,13,5,True,False
216,3.32,40.29,12,4,True,False
217,2.78,71.39,19,5,True,False
218,2.07,50.48,19,6,True,False
221,2.53,38.05,20,7,True,False
222,3.24,37.42,13,5,True,False
226,2.32,53.23,19,5,True,False
227,2.18,78.89,22,5,True,False
228,2.93,42.98,17,6,True,False
229,3.1,70.35,11,5,True,False
230,2.37,47.79,15,4,True,False
233,3.61,77.81,12,4,True,False
235,2.89,85.64,16,7,True,False
236,2.18,66.61,21,5,True,False
237,2.85,59.04,18,4,True,False
238,2.7,31.72,14,6,True,False
240,2.39,81.9,19,7,True,False
244,3.45,42.37,13,4,True,False
245,2.53,55.99,21,9,True,False
246,4.16,79.47,12,5,True,False
248,2.57,72.38,10,4,True,False
249,3.25,49.47,15,4,True,False
251,2.03,41.17,16,5,True,False
253,3.72,30.13,12,5,True,False
255,2.61,51.25,17,7,True,False
258,2.48,60.13,15,6,True,False
260,3.0,89.11,16,4,True,False
261,2.29,36.54,22,4,True,False
262,2.26,69.47,18,6,True,False
264,3.13,79.88,14,4,True,False
265,2.43,41.97,12,4,True,False
266,4.36,49.87,11,4,True,False
269,2.12,64.98,18,8,True,False
272,2.42,79.8,20,6,True,False
274,2.94,69.56,13,4,True,False
275,2.26,48.52,13,5,True,False
277,2.29,89.18,11,5,True,False
278,3.0,36.39,14,6,True,False
281,2.48,54.37,17,4,True,False
283,3.91,59.21,14,5,True,False
284,2.77,75.35,16,7,True,False
286,2.07,39.08,22,8,True,False
288,2.03,77.06,15,4,True,False
289,2.72,41.02,10,4,True,False
291,2.58,49.63,21,6,True,False
293,3.99,47.07,11,4,True,False
296,2.22,67.85,21,7,True,False
297,2.89,46.58,18,7,True,False
300,2.7,82.56,19,4,True,False
304,2.85,66.68,13,6,True,False
306,2.13,85.74,21,9,True,False
307,3.8,73.11,13,4,True,False
309,2.37,70.44,17,5,True,False
311,2.93,78.8,16,5,True,False
312,2.18,43.11,10,4,True,False
315,2.33,61.04,14,6,True,False
316,3.05,53.37,11,5,True,False
318,2.49,37.27,20,5,True,False
320,2.74,73.49,19,8,True,False
321,2.01,52.1,19,7,True,False
323,2.06,71.3,11,5,True,False
324,2.78,50.61,14,4,True,False
326,2.59,40.15,18,6,True,False
330,2.29,54.85,19,8,True,False
331,4.76,80.61,11,4,True,False
337,2.1,30.87,16,5,True,False
340,3.66,34.45,11,5,True,False
343,2.41,64.48,14,5,True,False
344,3.15,57.39,11,4,True,False
346,2.96,86.16,17,5,True,False
347,2.24,31.97,21,6,True,False
348,2.27,74.04,19,4,True,False
351,2.47,37.65,13,5,True,False
352,2.6,88.74,21,8,True,False
356,2.0,63.66,20,5,True,False
357,2.75,54.47,19,6,True,False
358,3.27,86.98,13,5,True,False
359,2.55,34.89,13,4,True,False
362,3.43,64.87,10,4,True,False
364,3.58,39.21,14,6,True,False
365,2.36,59.39,22,7,True,False
367,3.42,45.15,15,5,True,False
371,2.15,44.09,17,5,True,False
372,3.62,55.3,14,4,True,False
373,2.4,85.3,11,4,True,False
374,3.07,32.85,14,4,True,False
376,2.21,56.39,18,6,True,False
377,2.35,75.72,22,4,True,False
378,3.02,38.63,17,4,True,False
380,2.52,50.73,16,6,True,False
383,2.56,60.54,18,7,True,False
387,2.08,87.97,17,6,True,False
389,3.31,62.8,16,4,True,False
390,4.18,32.8,12,4,True,False
391,2.47,72.68,22,8,True,False
392,3.51,85.36,13,5,True,False
395,2.44,31.31,19,8,True,False
398,2.66,82.42,14,5,True,False
399,2.82,68.22,18,5,True,False
400,2.11,46.13,20,4,True,False
401,2.12,88.58,14,5,True,False
402,2.81,37.08,12,4,True,False
406,4.08,58.58,11,5,True,False
408,2.31,63.82,21,7,True,False
410,2.98,58.02,17,7,True,False
411,4.02,77.45,13,5,True,False
413,2.61,78.99,16,4,True,False
416,2.76,70.71,15,6,True,False
420,3.94,89.57,12,4,True,False
423,3.22,30.59,16,6,True,False
424,3.03,66.08,10,4,True,False
425,2.35,59.58,15,4,True,False
428,2.91,39.95,14,6,True,False
432,2.39,50.35,18,4,True,False
434,2.87,86.32,19,7,True,False
436,2.16,35.52,20,7,True,False
438,2.16,60.24,11,4,True,False
439,2.87,54.09,15,5,True,False
441,2.67,36.21,17,5,True,False
444,2.2,51.39,22,9,True,False
447,2.32,84.55,18,7,True,False
449,3.43,39.82,16,4,True,False
450,2.55,69.84,20,5,True,False
452,2.75,79.98,12,5,True,False
453,2.01,41.84,13,6,True,False
454,4.6,52.76,10,4,True,False
455,2.05,81.79,20,8,True,False
458,2.46,66.97,19,6,True,False
460,3.02,82.74,13,4,True,False
461,2.27,31.59,12,5,True,False
462,4.92,81.04,11,4,True,False
463,2.23,72.49,15,5,True,False
464,3.15,77.34,17,5,True,False
465,2.4,40.84,21,4,True,False
467,3.83,42.5,12,5,True,False
470,2.09,74.67,22,6,True,False
471,2.84,50.93,16,5,True,False
472,3.37,75.51,10,4,True,False
473,2.64,38.89,15,5,True,False
476,3.52,68.89,12,4,True,False
477,3.49,35.26,15,6,True,False
480,2.44,47.89,20,8,True,False
482,2.58,65.26,12,5,True,False
483,3.33,56.64,14,6,True,False
487,2.06,33.07,18,4,True,False
489,3.75,38.02,11,4,True,False
492,2.5,68.01,14,4,True,False
493,3.24,46.39,12,5,True,False
495,3.05,82.17,18,6,True,False
496,2.33,43.43,21,5,True,False
497,2.19,62.54,16,5,True,False
500,3.09,87.76,16,5,True,False
504,2.17,76.5,19,6,True,False
506,3.4,73.79,13,4,True,False
507,2.69,51.82,12,4,True,False
508,3.6,81.8,15,4,True,False
511,2.52,42.33,17,7,True,False
513,2.57,85.92,15,6,True,False
515,2.73,64.25,17,4,True,False
516,2.02,57.63,22,4,True,False
517,2.07,66.47,16,7,True,False
518,3.72,51.28,14,5,True,False
520,4.42,74.3,12,4,True,False
521,2.48,81.29,11,5,True,False
522,3.16,44.33,15,4,True,False
525,2.3,45.38,18,6,True,False
526,2.27,86.75,19,4,True,False
529,2.43,54.69,13,5,True,False
531,5.44,31.37,10,4,True,False
533,2.66,72.05,18,8,True,False
536,2.13,72.09,15,4,True,False
537,3.35,78.55,16,6,True,False
540,4.07,42.08,12,4,True,False
543,2.3,81.13,20,7,True,False
547,2.62,66.42,18,5,True,False
551,2.77,84.34,14,5,True,False
554,2.02,85.87,19,8,True,False
555,3.95,72.25,11,4,True,False
557,2.52,71.05,21,6,True,False
560,3.04,79.6,12,4,True,False
561,2.34,42.27,14,5,True,False
563,2.9,52.52,16,6,True,False
567,2.38,36.71,16,4,True,False
569,2.85,73.63,17,7,True,False
571,2.17,52.0,21,8,True,False
572,2.14,77.67,12,4,True,False
573,2.88,40.47,13,4,True,False
575,2.69,48.77,19,6,True,False
578,4.83,70.47,10,4,True,False
579,2.33,68.16,17,7,True,False
581,3.96,88.35,12,5,True,False
585,2.02,58.34,15,6,True,False
588,2.06,65.29,22,9,True,False
589,3.87,77.98,14,4,True,False
590,2.45,80.59,17,5,True,False
592,3.01,70.17,15,5,True,False
593,2.28,47.97,11,4,True,False
595,2.23,89.81,13,6,True,False
596,2.98,35.84,12,5,True,False
598,2.41,53.52,19,5,True,False
601,2.09,38.69,18,7,True,False
603,2.11,87.42,21,5,True,False
604,2.83,34.51,18,6,True,False
605,3.37,61.94,12,5,True,False
606,2.62,56.14,14,4,True,False
609,3.53,86.16,11,4,True,False
612,2.46,31.46,21,7,True,False
613,4.22,74.03,12,5,True,False
615,3.32,44.0,15,5,True,False
618,2.05,46.75,16,5,True,False
620,3.73,54.46,12,5,True,False
622,2.51,84.44,16,4,True,False
623,3.23,33.64,10,4,True,False
625,3.06,64.92,16,6,True,False
626,2.32,57.01,22,6,True,False
627,2.2,75.17,18,4,True,False
629,3.1,74.07,14,6,True,False
630,2.67,60.47,20,7,True,False
633,3.61,81.53,15,5,True,False
634,2.16,62.82,17,6,True,False
636,3.38,86.41,15,4,True,False
637,2.7,35.5,11,5,True,False
638,4.28,56.41,12,4,True,False
639,2.39,78.11,22,8,True,False
640,3.59,65.49,14,4,True,False
641,2.2,50.2,16,7,True,False
644,2.52,59.72,18,8,True,False
646,5.22,76.99,10,4,True,False
648,2.56,68.66,13,5,True,False
649,2.72,80.69,18,5,True,False
650,2.04,44.9,20,4,True,False
653,4.41,87.99,10,4,True,False
654,2.48,63.91,12,4,True,False
655,3.17,58.0,13,5,True,False
657,2.31,32.76,19,5,True,False
658,2.25,73.19,21,5,True,False
659,2.95,52.4,17,4,True,False
661,3.12,76.16,11,5,True,False
662,2.44,38.25,15,6,True,False
665,2.66,88.37,16,7,True,False
671,3.87,61.28,11,4,True,False
673,2.44,67.05,21,5,True,False
674,3.12,58.56,17,6,True,False
675,2.95,83.13,11,5,True,False
676,2.25,31.27,14,4,True,False
678,2.3,72.87,13,6,True,False
679,2.98,49.03,13,5,True,False
683,2.47,40.68,19,5,True,False
686,2.77,62.59,18,8,True,False
687,2.08,55.51,21,7,True,False
688,2.04,60.63,13,5,True,False
689,2.72,53.77,13,4,True,False
691,2.56,36.06,20,6,True,False
693,3.98,30.63,10,4,True,False
695,2.35,50.76,18,8,True,False
697,2.21,85.09,22,8,True,False
699,2.9,33.01,16,7,True,False
702,2.71,69.92,17,4,True,False
706,2.86,80.37,15,6,True,False
708,4.53,36.15,11,4,True,False
712,2.36,84.11,18,6,True,False
714,2.92,66.18,14,4,True,False
715,2.19,59.44,11,4,True,False
718,2.31,78.31,16,6,True,False
720,3.23,71.87,17,4,True,False
723,3.93,48.29,13,5,True,False
725,2.0,34.72,18,7,True,False
727,2.05,88.68,10,4,True,False
728,2.79,36.94,16,5,True,False
730,2.6,52.77,17,5,True,False
733,2.27,37.59,22,9,True,False
736,2.24,64.66,19,7,True,False
739,2.63,79.37,20,4,True,False
741,2.83,70.81,11,5,True,False
742,2.11,47.31,14,6,True,False
744,3.65,50.96,10,4,True,False
746,2.42,80.97,13,4,True,False
747,3.13,44.7,13,5,True,False
749,2.23,45.48,20,5,True,False
750,2.29,86.61,17,5,True,False
754,3.19,63.09,14,6,True,False
755,4.43,33.09,12,5,True,False
758,3.33,50.4,16,7,True,False
759,3.7,85.06,14,6,True,False
760,2.01,76.36,21,6,True,False
761,2.74,37.98,17,6,True,False
763,3.29,73.47,10,4,True,False
764,2.54,52.19,15,4,True,False
767,3.44,82.19,11,5,True,False
771,2.37,42.9,21,7,True,False
773,2.14,57.72,19,4,True,False
775,3.64,37.88,13,4,True,False
778,3.08,46.47,16,4,True,False
780,2.22,43.83,17,6,True,False
781,2.34,62.23,20,4,True,False
782,3.04,55.95,18,5,True,False
784,2.53,34.23,14,5,True,False
787,2.58,76.93,19,8,True,False
790,2.07,74.35,18,5,True,False
792,3.3,75.36,14,5,True,False
793,2.62,38.97,11,4,True,False
795,3.5,68.99,15,4,True,False
798,2.42,48.75,17,7,True,False
801,2.65,65.1,16,6,True,False
802,2.81,84.73,17,4,True,False
803,2.12,33.45,22,5,True,False
805,2.81,33.3,15,5,True,False
809,2.65,56.88,18,5,True,False
813,2.26,42.17,22,7,True,False
816,4.04,81.16,10,4,True,False
818,2.61,75.27,19,5,True,False
820,2.78,74.43,12,5,True,False
821,2.07,51.17,13,4,True,False
822,2.03,72.23,20,8,True,False
823,2.73,49.67,18,7,True,False
826,2.53,87.52,19,4,True,False
829,2.34,55.8,12,5,True,False
830,2.22,81.93,15,5,True,False
831,2.89,43.67,11,4,True,False
832,3.08,67.77,17,5,True,False
833,2.39,46.62,22,6,True,False
835,3.81,51.92,12,4,True,False
838,5.19,89.46,10,4,True,False
839,2.14,64.01,14,5,True,False
843,4.11,34.04,11,5,True,False
845,2.18,47.61,19,8,True,False
848,2.32,88.27,21,8,True,False
849,3.96,68.14,13,5,True,False
851,2.54,73.56,16,6,True,False
854,2.74,76.27,15,4,True,False
855,2.02,38.12,10,5,True,False
857,2.06,78.01,17,7,True,False
861,2.45,63.19,22,4,True,False
862,3.19,54.93,16,4,True,False
864,2.28,35.37,15,6,True,False
867,2.23,68.77,12,4,True,False
868,2.97,45.62,14,4,True,False
870,2.42,44.56,18,6,True,False
873,2.1,59.85,20,9,True,False
874,2.11,70.95,19,4,True,False
875,2.82,47.22,19,4,True,False
878,2.41,86.24,20,7,True,False
880,3.52,72.62,15,6,True,False
881,3.02,37.69,16,7,True,False
883,3.47,31.48,12,4,True,False
886,2.6,61.48,15,4,True,False
887,3.32,52.86,11,4,True,False
888,2.79,88.82,18,6,True,False
889,2.05,36.85,21,6,True,False
890,3.74,41.74,14,5,True,False
894,3.23,50.11,15,6,True,False
897,2.31,39.71,17,4,True,False
898,2.19,66.31,20,6,True,False
901,3.11,83.98,12,4,True,False
902,2.36,30.36,13,4,True,False
905,2.16,80.22,22,4,True,False
906,2.86,41.6,16,5,True,False
908,2.71,48.1,15,5,True,False
911,3.58,78.08,12,5,True,False
912,3.46,59.68,15,5,True,False
913,2.52,38.56,20,8,True,False
914,4.14,65.95,11,4,True,False
915,2.56,89.71,12,5,True,False
916,3.26,35.97,14,4,True,False
918,2.04,53.85,18,6,True,False
921,2.61,33.93,19,7,True,False
924,2.47,77.57,14,6,True,False
925,3.17,40.6,12,5,True,False
926,2.99,72.72,18,4,True,False
927,2.31,49.1,21,5,True,False
928,2.25,82.97,16,5,True,False
930,3.12,67.21,15,5,True,False
931,2.43,58.47,10,4,True,False
933,4.37,37.18,12,4,True,False
935,3.68,88.45,13,4,True,False
936,2.12,61.2,22,7,True,False
938,2.44,76.02,17,5,True,False
942,2.95,73.34,16,5,True,False
944,2.31,85.46,14,4,True,False
945,2.98,32.67,11,5,True,False
947,2.47,58.09,20,5,True,False
949,3.89,55.49,10,4,True,False
953,2.03,80.84,11,5,True,False
954,2.72,44.8,14,6,True,False
957,2.56,45.85,18,4,True,False
962,2.35,30.67,19,8,True,False
965,4.13,85.19,13,5,True,False
968,3.39,35.59,16,5,True,False
969,2.86,62.96,10,4,True,False
970,2.16,55.17,16,5,True,False
972,2.15,89.51,18,7,True,False
975,2.36,74.22,20,4,True,False
977,2.2,39.33,13,6,True,False
978,4.88,47.67,10,4,True,False
979,2.32,64.76,10,4,True,False
980,3.06,57.09,15,4,True,False
983,2.51,33.55,17,6,True,False
986,2.01,48.38,22,9,True,False
987,4.65,87.08,11,4,True,False
989,2.05,67.52,14,6,True,False
992,2.59,43.93,21,4,True,False
995,2.27,58.63,16,7,True,False
999,2.63,62.09,19,6,True,False
1001,2.83,87.26,13,4,True,False
1002,2.1,34.59,13,4,True,False
1003,3.65,30.73,15,6,True,False
1005,2.64,50.86,20,7,True,False
1006,3.14,53.67,14,6,True,False
1010,2.22,35.69,18,4,True,False
1011,2.28,70.26,22,6,True,False
1012,3.01,47.81,17,6,True,False
1013,3.2,80.5,10,4,True,False
1014,2.45,41.42,16,4,True,False
1018,3.71,71.4,12,4,True,False
1020,2.02,67.39,16,4,True,False
1023,3.28,83.26,16,6,True,False
