R,A,CC,VC
3.03,34.34,16,4
2.67,76.57,13,5
2.04,55.54,19,6
3.11,73.32,16,5
3.97,40.15,18,4
3.59,60.24,14,6
2.65,36.52,20,7
2.87,43.95,13,5
2.52,86.17,16,6
5.83,62.44,11,4
2.19,46.39,16,5
3.26,64.18,20,4
3.37,31.46,19,6
2.3,79.24,22,5
2.41,58.2,10,4
2.77,70.41,13,5
4.54,75.65,15,4
2.91,50.63,21,8
3.47,35.37,11,5
4.43,54.51,17,6
3.2,50.22,17,4
2.14,60.57,21,5
5.61,48.27,13,5
2.93,89.08,14,6
5.26,66.05,10,4
6.32,88.0,12,4
2.79,31.99,20,7
2.44,81.64,17,7
3.85,58.86,16,6
3.71,79.09,16,5
2.5,47.75,22,9
4.77,31.25,12,4
2.98,55.31,11,4
2.62,74.96,14,4
5.72,81.11,12,5
3.57,38.7,20,8
2.09,35.04,18,6
3.15,75.39,21,6
4.36,61.41,16,4
2.69,53.13,19,7
3.05,72.8,22,7
6.6,47.24,11,4
4.61,40.39,16,5
5.51,39.18,12,5
2.83,45.7,14,6
2.48,65.36,11,5
3.77,32.83,17,7
2.23,44.19,21,4
3.3,84.53,18,4
3.41,59.83,21,6
2.34,70.17,18,6
2.37,30.28,15,4
2.73,79.95,11,4
5.46,71.45,13,5
2.6,87.51,20,8
3.43,56.15,13,4
5.18,33.99,14,5
2.12,67.71,16,6
6.24,76.21,11,4
2.59,32.51,16,4
2.94,82.16,19,4
3.66,53.46,18,5
3.9,78.35,14,6
2.35,49.81,20,7
3.42,60.16,17,7
4.15,63.18,14,5
3.29,35.45,22,9
3.79,51.01,12,4
3.06,47.22,19,5
2.7,66.88,22,6
2.01,42.9,10,4
3.08,83.25,13,4
5.09,61.62,12,5
2.08,84.94,21,7
7.04,35.02,10,4
4.0,56.41,15,5
3.56,81.32,17,4
2.87,52.6,22,4
2.51,72.27,19,4
2.21,37.04,13,6
4.9,71.23,15,4
4.21,48.97,17,7
3.35,51.99,16,5
2.29,62.32,13,4
2.42,38.37,20,6
2.78,88.04,16,6
3.51,48.07,21,6
4.05,84.2,11,5
4.4,42.05,14,4
5.13,54.49,12,4
3.24,33.22,14,5
4.07,45.79,17,7
2.54,57.13,21,5
2.9,69.36,18,4
4.68,77.18,16,5
3.61,36.89,19,4
2.31,40.78,19,7
3.38,88.55,22,8
4.3,53.23,16,6
4.19,87.41,10,4
3.84,37.7,13,4
3.72,62.47,19,6
3.01,41.25,21,6
2.66,83.47,17,5
2.05,48.39,15,4
3.12,66.17,11,5
4.4,82.03,13,5
3.1,46.69,20,7
2.82,35.87,18,5
2.46,78.08,20,4
3.81,89.47,18,7
2.25,54.25,11,5
3.31,72.04,15,6
4.85,80.3,10,4
4.97,45.34,15,6
3.4,38.6,11,4
2.33,86.39,14,5
2.38,51.28,18,6
2.74,63.49,21,5
3.47,42.29,16,6
4.09,67.08,16,4
2.1,31.16,22,8
4.45,47.36,13,4
4.45,67.25,17,6
3.46,82.63,12,4
2.61,58.66,18,8
2.96,70.88,21,9
4.53,42.34,15,5
2.73,51.1,14,4
2.33,38.55,22,6
3.4,86.32,19,5
3.32,54.31,20,5
2.25,72.09,17,4
5.91,59.06,11,4
2.47,36.04,15,5
3.03,43.48,17,7
2.68,85.7,21,8
3.51,57.98,14,6
4.04,81.85,18,4
3.12,48.44,16,6
2.05,66.23,20,5
2.66,41.44,12,4
3.01,83.64,15,5
4.78,62.4,14,4
2.89,33.88,21,8
3.72,52.13,10,4
4.19,37.52,18,5
3.94,53.4,17,4
3.62,77.23,15,6
7.42,70.37,10,4
2.4,49.52,21,7
2.76,61.73,18,8
5.27,35.34,14,4
2.54,69.18,13,6
3.49,44.51,20,7
2.17,33.15,19,5
3.24,80.95,22,4
3.21,59.36,16,7
3.51,66.08,13,5
4.58,48.25,10,4
2.78,38.32,12,4
2.43,87.97,15,4
2.29,51.8,17,6
3.36,62.15,20,6
3.27,37.21,18,4
2.2,77.56,22,4
2.86,72.32,14,5
5.5,79.06,13,4
4.63,81.14,16,6
6.57,74.99,11,4
2.99,45.23,22,7
2.64,64.88,19,7
3.56,33.3,12,5
4.35,56.34,17,5
3.07,43.08,21,6
2.01,83.41,18,6
2.7,47.28,14,5
3.06,66.94,10,4
4.83,87.01,12,5
2.48,74.5,22,9
3.77,39.16,15,4
3.79,63.11,17,5
2.72,89.56,20,7
6.31,30.26,11,4
4.72,53.63,13,5
2.94,32.45,15,6
5.58,73.97,13,4
3.44,46.08,18,7
2.13,57.2,20,4
3.19,67.53,17,5
4.48,76.18,14,5
3.18,52.45,21,9
4.12,34.01,11,4
3.43,73.93,22,5
2.73,30.46,17,6
2.37,80.11,20,6
2.34,59.88,12,5
3.41,70.24,15,4
4.89,50.98,15,5
2.24,84.48,14,6
5.96,63.2,11,4
3.78,56.87,19,7
2.47,45.53,19,4
2.83,65.17,22,4
3.55,40.46,17,5
4.01,61.59,15,6
7.0,83.21,10,4
2.02,36.56,21,8
3.08,76.91,18,7
4.37,49.43,12,5
3.15,34.99,13,4
2.08,75.33,10,4
3.57,86.72,16,7
2.63,55.12,22,5
2.98,74.79,19,6
3.71,31.31,20,6
3.85,71.19,12,5
4.2,59.04,15,4
3.34,57.84,18,7
2.27,68.17,21,7
3.93,43.17,14,5
3.62,64.33,18,4
2.93,39.6,20,4
2.58,89.26,16,4
2.14,50.29,15,6
5.14,84.23,14,4
4.44,74.17,12,4
3.22,39.08,19,8
2.16,86.85,22,9
4.08,54.46,16,4
3.48,75.48,17,6
2.77,58.25,22,6
2.41,70.47,18,5
2.3,31.64,14,4
3.36,79.42,11,5
4.93,37.73,10,4
3.26,46.23,15,5
3.83,32.78,18,7
2.52,43.89,20,5
2.88,86.11,17,4
2.07,53.79,16,7
3.13,71.56,19,8
5.08,32.33,13,5
3.11,55.36,12,4
2.04,73.15,15,5
2.67,34.29,17,6
3.02,76.5,20,5
3.75,59.28,19,6
3.81,80.33,13,4
2.26,47.92,20,8
4.16,30.61,10,4
4.24,65.03,15,6
3.39,33.68,22,7
2.32,81.47,19,8
3.67,85.08,20,5
2.97,49.11,18,5
2.62,61.32,21,4
4.11,72.48,17,7
2.09,41.24,10,5
3.16,89.03,14,6
5.19,67.06,12,4
3.16,52.9,18,5
2.1,72.56,21,6
2.61,37.45,11,5
2.97,77.79,14,4
5.22,70.82,12,5
4.74,68.73,16,4
2.75,44.89,22,9
2.4,85.23,19,8
3.68,56.58,13,4
4.24,33.53,16,6
3.81,48.01,19,5
2.44,59.13,20,8
2.8,69.46,17,7
5.32,43.54,14,4
2.67,61.91,15,5
5.67,85.75,10,4
3.53,34.43,21,7
2.04,38.07,18,4
3.1,87.74,21,5
3.6,78.64,10,4
3.01,60.33,20,8
4.67,36.48,13,4
2.87,57.43,14,5
2.51,67.77,11,4
2.2,32.69,21,5
3.26,82.34,17,6
3.36,47.05,21,4
2.29,66.7,18,5
3.61,70.32,20,7
5.77,49.45,12,4
2.42,42.84,14,6
2.77,83.19,11,5
2.9,35.27,19,8
2.55,75.62,22,7
7.54,44.45,10,4
3.47,50.72,16,5
4.09,86.77,16,4
3.21,35.81,19,6
2.14,78.02,16,5
2.57,54.07,16,4
2.93,71.86,13,4
4.7,81.62,11,4
3.63,31.89,14,5
3.92,68.03,18,6
4.21,82.85,18,5
3.7,67.49,11,5
2.49,31.22,18,7
2.85,79.01,21,7
4.77,47.77,15,6
5.36,45.17,12,4
2.99,38.78,13,5
2.08,51.34,22,4
3.15,63.55,19,4
4.01,36.72,17,5
3.55,72.88,15,4
2.7,40.37,22,9
2.82,32.93,10,4
2.47,80.7,13,5
2.24,56.72,19,6
3.31,68.95,22,6
3.4,41.66,16,5
2.33,83.88,19,4
3.65,80.03,19,7
2.73,66.46,16,6
4.49,87.47,14,5
2.95,56.25,20,7
3.2,43.66,15,4
2.13,85.87,11,5
2.58,45.98,21,6
2.93,63.77,17,6
3.89,60.18,10,4
4.24,49.9,13,5
4.15,75.71,13,5
3.3,51.04,18,7
2.23,63.25,22,8
3.8,35.43,16,6
3.76,74.41,16,5
3.06,31.87,21,5
2.71,79.65,18,4
6.16,36.63,12,4
2.0,58.49,14,6
4.35,84.85,16,4
3.14,56.43,22,8
3.99,44.56,12,5
3.57,64.79,19,6
4.63,45.08,16,5
2.86,41.01,18,6
2.5,88.79,21,5
2.21,48.87,11,4
3.27,61.09,14,4
5.02,57.77,13,4
3.35,34.52,11,5
2.28,76.74,14,6
2.43,55.6,17,4
2.79,73.38,21,4
3.51,30.85,19,4
4.05,69.8,13,5
2.15,41.95,20,7
3.22,84.18,17,7
2.17,65.42,13,4
2.54,44.37,19,5
2.89,84.7,22,6
3.62,49.67,18,6
3.94,88.53,15,4
2.3,53.31,21,9
4.29,40.68,11,4
4.2,73.7,14,6
3.25,37.67,20,8
2.19,87.33,17,7
3.02,59.66,16,4
2.67,69.99,20,5
3.97,66.15,19,7
2.04,30.22,13,6
3.11,79.89,16,5
5.05,71.51,11,4
2.03,81.93,20,8
4.04,46.73,14,4
3.52,85.56,18,6
2.82,50.51,19,5
2.46,60.86,16,6
2.25,39.84,16,5
3.32,89.49,12,4
4.85,65.64,14,5
4.97,33.75,12,4
3.87,38.64,17,7
2.38,34.75,22,4
2.74,75.1,19,5
3.46,58.8,21,4
2.11,47.46,18,8
3.17,67.11,22,7
6.74,52.82,10,4
4.45,31.08,15,6
3.17,42.33,17,6
2.11,82.66,21,6
5.56,41.05,13,5
2.6,47.55,11,4
2.96,67.22,15,5
4.75,86.35,13,4
3.82,36.09,16,4
3.74,72.11,16,5
2.46,39.7,22,7
2.68,81.81,14,6
5.68,73.31,12,5
3.52,46.82,20,8
2.03,57.98,18,4
3.09,68.31,21,4
4.32,83.64,16,6
3.97,41.47,19,5
3.58,66.24,12,4
3.02,79.75,22,9
4.65,48.41,16,5
5.49,46.39,12,5
2.88,37.54,14,4
2.53,87.19,11,4
2.18,52.11,21,6
3.25,62.45,18,5
3.37,36.93,21,4
2.3,77.28,17,4
5.76,31.44,10,4
2.41,53.42,14,6
5.4,79.22,13,5
2.89,45.86,17,7
2.54,65.51,20,7
3.22,48.26,22,5
2.15,66.05,19,6
2.56,42.1,13,5
2.92,84.31,10,4
4.71,62.13,11,4
2.43,76.86,21,8
3.64,51.85,15,4
3.91,87.99,18,6
4.22,72.34,18,4
2.86,60.99,20,7
4.76,37.26,14,5
3.0,56.33,16,6
2.64,68.54,13,5
3.57,44.71,19,7
2.07,33.31,20,4
3.13,81.1,16,5
4.02,47.24,18,6
3.54,83.4,14,4
4.61,43.12,11,4
2.84,50.94,12,5
2.48,63.16,16,4
2.23,39.18,16,5
3.3,86.96,19,6
3.41,53.65,19,4
2.34,71.43,22,5
3.66,60.09,17,7
2.72,78.45,13,5
5.45,70.19,12,4
4.5,67.52,15,6
2.94,43.79,22,8
2.58,86.01,18,7
4.47,32.41,17,5
3.19,56.11,14,5
2.12,73.9,11,4
2.59,34.01,21,5
2.95,76.22,18,6
4.72,70.21,16,6
3.65,59.94,20,6
3.9,80.14,13,5
3.41,66.34,22,8
4.26,30.41,16,4
2.24,80.81,20,7
3.77,84.46,19,4
3.05,49.42,21,4
2.7,61.63,17,5
6.18,47.2,10,4
2.01,40.47,15,6
3.08,88.26,11,5
5.11,66.86,14,4
4.34,74.8,13,4
3.98,55.09,10,4
2.63,51.47,16,7
2.85,59.02,17,5
2.49,71.24,21,6
2.22,31.33,11,5
3.28,79.1,14,4
4.28,81.71,17,7
5.01,38.36,15,5
2.27,64.28,14,5
6.08,88.01,12,4
2.44,43.14,18,4
2.8,85.37,21,5
3.49,50.32,16,4
4.06,89.27,16,6
2.14,53.94,22,8
3.21,71.72,19,7
5.12,57.15,14,5
3.23,35.18,13,4
2.16,75.52,16,4
2.55,54.47,16,6
2.9,74.13,20,6
3.61,31.59,18,5
3.95,70.45,14,4
2.29,42.74,20,8
4.18,86.09,15,5
6.82,62.48,10,4
3.27,57.57,21,7
2.2,67.9,18,7
3.01,40.23,19,4
2.65,89.89,22,4
3.96,78.54,17,7
2.06,50.12,10,5
5.07,83.49,12,5
4.38,76.49,11,4
2.04,62.04,22,9
4.03,34.33,14,5
3.53,73.16,17,6
2.81,30.63,22,6
2.45,80.28,19,6
5.93,35.88,12,5
2.27,59.26,13,4
3.33,69.61,10,4
4.86,78.1,15,6
4.96,51.29,10,4
3.38,44.78,16,6
3.88,56.71,19,8
2.4,45.33,19,5
2.75,64.98,16,4
3.45,41.2,21,4
4.11,61.31,11,5
2.1,37.34,17,7
3.16,77.69,20,8
4.47,49.15,14,6
3.45,72.57,11,5
2.97,88.89,21,9
4.52,52.86,14,4
2.75,33.55,15,5
2.39,81.33,12,4
3.67,45.42,19,8
2.32,56.56,20,6
3.39,68.78,17,6
3.33,41.86,22,4
2.26,84.08,19,5
3.75,80.19,19,8
2.45,48.03,13,6
2.67,73.24,21,7
3.52,38.04,15,5
4.03,61.9,17,4
3.13,36.47,19,5
2.07,78.68,22,6
2.64,53.88,10,4
3.0,71.67,13,4
5.34,79.7,12,5
4.8,82.36,15,5
2.88,46.32,21,9
2.52,64.11,18,8
3.73,32.64,12,4
4.18,57.48,17,6
3.95,42.89,18,5
3.61,66.72,14,6
2.41,31.5,21,7
2.77,79.29,18,7
5.28,45.91,14,5
2.55,86.73,15,5
5.64,65.57,11,4
2.16,50.71,16,4
3.22,62.92,20,4
4.06,54.04,17,5
3.5,78.01,16,4
2.58,50.17,22,8
4.57,35.85,12,4
2.79,57.74,11,4
2.44,68.08,14,5
2.27,31.92,18,6
3.34,81.57,22,5
3.28,47.79,17,5
2.21,67.44,20,4
3.71,71.1,18,7
5.85,48.83,13,4
2.5,42.56,12,5
2.85,82.9,15,6
6.58,85.05,11,4
2.98,35.12,19,7
3.09,53.18,20,6
2.02,72.84,17,5
2.69,36.71,15,4
3.05,77.04,12,5
4.84,68.92,10,4
3.78,56.78,13,5
3.78,80.73,18,6
3.3,65.28,16,7
4.27,66.49,17,4
2.37,59.79,19,7
2.73,70.13,22,8
4.71,41.71,15,6
5.24,43.74,12,4
2.95,52.35,14,5
2.11,37.76,21,5
3.18,87.43,18,4
4.47,63.78,15,4
3.19,32.56,21,8
4.11,45.95,12,4
3.44,85.87,20,6
2.71,49.88,19,6
2.36,60.23,22,5
2.35,40.0,10,4
3.42,89.65,14,5
4.87,32.97,14,4
3.29,54.71,12,5
2.23,74.36,15,6
5.94,80.74,11,4
2.49,35.41,17,5
2.84,75.76,20,4
3.54,58.53,18,4
4.02,79.66,14,6
2.01,47.15,21,7
3.14,45.09,15,4
2.07,64.76,12,5
2.64,44.55,20,6
2.99,84.89,16,5
3.86,88.81,10,4
2.2,52.53,18,8
4.21,40.96,14,4
4.27,73.4,12,5
3.35,38.41,18,7
2.28,88.07,21,8
3.92,55.55,15,6
3.64,76.72,17,4
2.92,59.5,22,5
2.57,69.83,19,4
6.22,53.99,11,4
2.15,30.86,13,5
5.16,71.79,14,4
2.17,69.31,19,8
4.07,44.4,13,4
3.49,65.43,19,5
2.9,81.04,16,7
2.76,40.71,20,5
2.4,88.48,17,6
2.31,49.65,15,4
3.37,61.87,12,4
4.99,83.02,13,5
4.92,57.62,13,5
3.25,33.77,14,6
2.18,75.99,11,5
3.84,52.26,17,7
2.53,55.88,22,4
2.89,73.65,18,4
3.58,30.19,20,5
2.05,41.33,19,7
3.12,83.55,22,7
6.7,36.44,11,4
4.33,59.69,16,5
2.03,85.6,14,4
2.68,46.73,18,6
3.04,64.52,21,6
3.74,39.79,17,6
3.82,60.84,15,5
2.24,35.94,22,9
4.17,50.56,12,4
3.4,51.24,20,8
2.33,63.45,16,7
2.96,31.09,17,4
2.61,78.87,20,5
3.17,71.0,15,6
5.2,77.63,10,4
3.17,58.61,19,4
2.1,70.83,16,4
3.46,67.18,22,8
2.61,31.04,16,6
2.97,78.81,12,5
5.21,72.54,14,4
2.74,38.48,17,7
2.38,86.26,20,7
3.68,55.03,14,5
3.87,75.14,18,4
4.17,60.79,17,5
3.74,89.33,12,5
2.82,72.13,22,8
4.81,39.62,14,4
3.04,46.8,13,4
2.68,64.58,10,4
2.03,43.55,22,6
3.1,85.78,19,6
3.98,59.64,17,5
3.58,79.72,15,6
7.61,71.7,10,4
2.66,48.49,21,7
3.01,66.28,18,7
2.53,73.72,13,6
5.84,82.34,12,4
3.72,37.56,20,7
2.18,33.95,19,4
3.25,76.16,22,5
3.38,49.48,16,6
2.31,61.69,20,6
2.4,40.64,13,4
2.76,88.43,16,4
4.55,65.61,14,5
3.48,45.88,11,4
3.21,30.8,18,5
2.15,80.45,21,4
3.51,84.34,17,7
2.56,59.32,11,5
2.92,69.67,14,6
5.25,78.04,12,4
4.7,76.78,16,6
6.33,68.05,10,4
2.78,51.87,22,7
2.42,62.22,19,8
3.92,73.57,19,5
4.28,55.74,16,4
3.86,40.79,19,6
3.7,61.02,13,4
2.51,37.17,20,8
2.99,44.72,11,4
2.64,85.07,15,5
2.08,45.15,17,6
3.14,64.81,21,5
2.71,43.03,16,7
3.06,83.36,20,8
5.52,56.74,10,4
2.84,35.59,15,5
3.76,50.91,18,7
2.22,54.76,20,5
3.29,74.43,18,4
3.42,39.93,21,6
2.35,89.6,18,5
3.66,78.48,20,8
2.36,49.71,14,4
2.71,60.05,11,5
4.51,85.91,13,4
2.94,57.27,19,8
2.59,67.61,22,9
3.44,43.76,16,4
4.12,63.96,16,6
4.48,73.86,17,7
2.11,87.6,13,6
6.23,63.75,12,4
2.6,52.4,19,5
2.95,62.75,22,4
3.65,41.53,17,4
3.91,66.42,14,5
7.31,89.68,10,4
2.34,30.39,22,7
4.13,80.78,14,4
3.31,45.57,20,8
3.78,32.94,11,4
3.04,36.64,16,6
2.69,76.99,19,5
2.02,53.01,13,4
3.09,72.66,16,5
3.15,55.17,17,7
2.09,74.84,20,8
3.99,38.79,14,6
3.57,63.71,18,5
2.85,42.5,20,5
2.5,82.84,16,4
5.98,40.99,11,4
2.22,47.61,16,5
4.91,88.78,14,4
5.0,55.58,12,5
3.34,32.09,13,4
2.43,57.8,22,6
2.79,68.13,19,5
3.5,35.68,21,6
4.06,71.82,11,4
2.14,39.52,18,8
3.2,89.19,21,9
4.41,53.97,15,5
3.23,50.76,15,6
4.08,35.26,18,7
2.55,39.12,21,4
2.91,86.9,17,4
3.37,70.54,20,7
4.31,42.71,13,5
4.18,67.93,12,5
2.19,86.07,22,9
3.83,57.64,16,4
3.73,82.42,16,5
3.0,53.71,21,6
2.65,71.49,18,6
2.06,36.4,14,5
3.13,78.63,11,4
5.06,70.02,15,5
4.39,62.07,16,6
3.11,34.24,22,7
2.04,76.45,19,7
4.03,51.79,13,5
3.53,87.82,19,4
4.59,38.09,16,5
2.81,47.85,18,4
2.45,65.64,21,4
3.32,84.02,14,6
4.86,60.87,12,4
3.39,56.63,11,4
2.32,68.84,15,4
2.39,33.72,18,5
2.75,81.51,21,6
3.45,52.8,19,6
4.1,77.59,13,5
2.09,49.19,20,9
4.46,37.32,10,4
3.45,88.87,13,5
2.61,52.94,19,7
2.97,72.61,16,7
5.44,38.53,13,4
2.4,65.05,15,6
2.31,44.96,17,4
3.38,85.3,20,4
3.33,59.09,18,6
2.26,69.42,21,5
2.45,30.56,10,4
2.8,80.23,14,4
4.6,73.34,15,4
3.03,38.0,22,9
3.53,55.49,12,5
4.38,34.39,16,5
3.12,49.94,22,4
2.06,60.29,18,4
3.6,71.64,21,7
5.69,48.44,13,4
2.65,40.18,14,6
4.79,64.19,12,5
2.87,32.62,19,7
2.51,82.27,22,8
3.73,46.36,15,6
3.83,86.16,17,5
2.29,83.14,16,7
3.61,79.25,10,4
4.67,31.42,13,5
2.9,54.54,15,4
2.54,74.19,12,5
2.16,35.35,20,6
3.23,75.7,17,6
4.42,89.11,17,4
2.57,35.77,18,8
2.92,77.97,21,7
6.45,42.12,10,4
4.56,50.27,15,6
5.39,51.82,11,4
2.8,43.33,13,6
2.27,46.56,22,4
3.34,64.35,19,5
3.29,31.26,20,5
2.22,79.05,17,6
2.49,58.85,15,5
2.85,71.06,12,4
4.64,75.37,10,4
2.63,63.62,21,8
3.57,35.09,14,4
3.98,74.98,18,6
3.08,40.41,17,4
2.01,88.19,20,5
3.56,77.07,19,7
3.05,61.46,16,5
5.29,83.43,11,4
2.83,56.79,21,8
2.47,69.02,17,7
3.77,44.23,11,5
4.14,45.66,18,4
3.9,30.25,17,6
3.65,70.16,15,4
2.37,41.62,21,9
2.73,83.84,18,8
4.72,59.87,12,4
2.59,76.4,13,4
3.43,52.32,19,8
2.12,56.17,19,5
3.19,73.95,22,6
3.2,46.03,19,8
2.13,63.82,22,7
4.12,32.46,15,5
3.44,67.69,16,4
2.72,36.18,21,4
2.36,78.38,18,5
2.35,53.47,14,6
3.3,39.35,15,5
2.23,87.14,12,4
2.48,51.0,20,5
2.84,63.21,17,6
4.01,66.9,10,4
3.07,79.58,20,8
4.37,47.17,13,4
5.03,55.12,13,4
2.07,81.27,15,5
6.1,74.77,10,4
