R,A,CC,VC
3.34,48.44,14,6
2.06,66.23,19,6
4.36,30.08,8,7
2.78,41.44,7,4
3.21,83.64,12,5
5.33,62.4,10,4
3.06,33.88,20,9
2.63,76.09,15,10
4.06,52.13,5,4
2.22,56.01,11,9
3.49,73.8,6,8
3.64,40.59,11,10
2.37,88.38,5,9
4.32,53.4,15,4
3.93,77.23,12,6
8.48,70.37,4,4
2.48,49.52,20,8
2.91,61.73,16,9
5.2,36.96,7,7
5.91,35.34,11,4
3.07,56.97,5,6
2.65,69.18,9,6
6.33,75.68,6,5
2.21,33.15,17,5
3.45,59.36,13,7
2.17,69.71,8,8
3.8,66.08,9,5
2.68,30.76,18,10
3.1,80.41,14,9
5.08,48.25,4,4
2.93,38.32,7,5
2.51,87.97,11,4
6.47,64.35,4,5
4.3,76.83,6,7
2.34,51.8,14,6
3.62,62.15,20,7
3.52,37.21,16,4
2.24,77.56,21,4
2.61,52.67,5,7
3.03,72.32,9,6
6.18,79.06,8,4
3.19,45.23,22,8
2.76,64.88,18,7
3.86,33.3,7,6
2.09,44.65,9,9
3.37,85.0,4,10
4.81,56.34,14,5
3.28,43.08,21,6
2.01,83.41,16,7
4.41,58.4,6,8
2.84,47.28,10,5
3.27,66.94,5,4
5.38,87.01,8,5
3.01,54.83,17,10
2.58,74.5,22,10
4.11,39.16,12,4
4.14,63.11,14,5
2.27,35.52,4,7
3.54,75.85,8,8
3.7,49.76,8,9
2.42,60.09,13,10
3.98,71.48,5,7
2.43,39.89,13,8
2.86,89.56,18,7
7.15,30.26,6,4
5.25,53.63,9,5
5.86,56.18,4,5
3.13,32.45,12,7
2.7,82.12,7,6
6.28,73.97,9,4
3.73,46.08,16,8
2.15,57.2,19,4
3.42,67.53,15,5
4.97,76.18,10,5
2.14,62.79,15,9
4.54,34.01,5,4
2.71,37.91,11,7
3.14,87.56,6,8
2.87,30.46,14,6
2.44,80.11,18,7
3.97,48.54,9,9
2.41,59.88,7,5
3.68,70.24,12,4
5.51,78.38,6,6
5.45,50.98,11,5
3.56,44.13,4,7
2.29,84.48,9,6
6.73,63.2,6,4
4.12,80.85,8,9
2.57,45.53,17,4
3.0,65.17,22,5
3.25,53.08,10,10
2.82,72.73,6,10
3.85,40.46,14,5
4.4,61.59,11,6
7.98,83.21,4,4
2.02,36.56,21,8
3.3,76.91,16,7
4.83,49.43,7,5
5.63,56.38,6,6
3.38,34.99,9,4
2.1,75.33,5,4
3.88,86.72,13,8
2.75,55.12,22,6
3.17,74.79,17,7
3.02,47.69,5,7
2.6,67.35,11,8
4.21,71.19,7,5
2.25,42.43,16,10
4.63,59.04,12,4
4.73,85.32,5,6
3.61,57.84,15,8
2.33,68.17,20,7
4.31,43.17,10,6
3.94,64.33,16,4
2.52,32.04,6,9
2.94,81.71,11,10
3.11,39.6,19,4
2.69,89.26,14,5
3.79,53.92,4,10
2.16,50.29,12,7
3.44,60.62,7,6
5.76,84.23,10,4
4.91,74.17,7,4
2.19,86.85,22,10
4.49,54.46,12,4
3.77,75.48,14,7
2.66,50.8,4,9
3.09,63.03,9,8
2.92,58.25,21,6
2.49,70.47,16,6
3.92,42.75,6,7
2.36,31.64,10,4
3.63,79.42,5,5
5.5,37.73,4,4
3.5,46.23,12,6
2.23,64.0,7,6
2.62,43.89,19,5
3.05,86.11,14,4
3.2,36.33,8,10
2.77,78.56,13,9
4.35,89.93,4,6
2.08,53.79,13,8
4.77,40.22,9,7
3.33,55.36,7,4
2.05,73.15,12,5
3.82,61.99,5,8
2.8,34.29,15,6
3.22,76.5,19,5
2.96,41.73,13,8
2.54,83.94,8,8
4.09,59.28,17,6
4.16,80.33,9,4
2.31,47.92,18,9
4.58,30.61,4,5
4.68,65.03,12,6
2.38,81.47,17,8
4.26,45.31,8,7
2.47,56.67,8,10
2.89,68.88,4,9
3.16,49.11,16,5
2.74,61.32,21,4
3.73,37.37,11,9
2.11,41.24,5,5
3.39,89.03,10,6
5.81,67.06,8,5
4.95,88.94,7,7
3.39,52.9,16,5
2.12,72.56,20,6
2.73,37.45,5,5
3.16,77.79,10,4
5.28,68.73,13,5
2.9,44.89,22,10
2.47,85.23,17,9
4.0,56.58,8,4
2.38,45.46,9,8
3.65,65.13,4,8
5.41,54.36,6,7
3.59,30.52,12,9
2.32,80.18,8,10
4.16,48.01,17,5
4.09,84.03,8,7
2.53,59.13,19,8
2.96,69.46,14,8
5.36,41.88,4,6
5.96,43.54,9,5
3.23,51.58,6,6
2.81,61.91,11,5
6.39,85.75,4,4
2.05,38.07,15,4
3.32,87.74,20,5
3.35,40.14,7,8
2.07,89.79,12,9
3.91,78.64,4,5
2.78,49.98,14,10
3.2,60.33,19,9
5.19,36.48,9,4
3.04,57.43,11,5
2.61,67.77,6,4
4.19,64.15,10,7
2.23,32.69,20,6
3.51,82.34,15,6
4.61,46.32,5,8
2.35,66.7,16,5
2.5,42.84,10,6
2.93,83.19,6,6
5.03,62.88,8,7
3.08,35.27,17,9
2.65,75.62,21,8
3.76,50.72,13,6
4.5,86.77,13,4
2.19,54.61,4,9
3.47,74.25,9,10
3.44,35.81,18,7
2.17,78.02,13,6
4.47,50.19,5,8
6.33,30.81,5,5
2.68,54.07,12,4
3.11,71.86,8,4
5.22,81.62,5,4
2.95,46.63,15,9
2.53,64.42,19,10
3.95,31.89,11,5
4.3,68.03,16,6
2.32,43.25,7,8
3.59,85.46,12,7
4.64,82.85,15,5
3.54,58.9,5,10
2.26,71.11,10,9
4.04,67.49,6,5
2.59,31.22,16,7
3.02,79.01,21,8
7.31,40.8,4,5
6.01,45.17,7,4
3.18,38.78,9,6
2.75,86.57,4,7
2.1,51.34,22,5
3.37,63.55,17,4
3.29,49.28,10,8
2.01,61.5,5,7
4.4,36.72,15,5
3.85,72.88,11,4
2.83,40.37,21,9
5.13,53.17,6,5
2.99,32.93,4,4
2.56,80.7,9,5
4.14,84.56,7,9
2.29,56.72,18,7
3.68,41.66,13,5
2.4,83.88,18,4
6.56,39.96,10,4
2.45,48.69,8,6
2.87,66.46,13,7
6.13,89.61,5,5
4.98,87.47,10,5
3.13,56.25,19,7
2.71,74.02,14,8
3.7,37.76,6,6
2.14,34.11,11,10
3.42,76.33,7,10
5.79,52.4,4,6
3.43,43.66,11,4
2.15,85.87,6,5
3.72,82.26,10,8
2.69,45.98,20,7
3.12,63.77,15,6
2.86,53.55,8,8
2.44,71.34,12,7
4.26,60.18,4,4
2.41,36.11,14,10
4.68,49.9,8,5
4.57,75.71,8,5
3.55,51.04,17,7
2.27,63.25,22,8
4.15,35.43,13,7
4.1,74.41,13,5
2.57,39.3,4,10
3.0,87.1,9,9
3.27,31.87,20,5
2.85,79.65,16,4
3.84,47.12,7,9
6.98,36.63,7,4
2.0,58.49,10,6
3.28,70.7,6,7
4.81,84.85,13,4
2.09,68.65,17,10
4.38,44.56,8,5
3.87,64.79,18,6
2.77,33.46,9,8
3.19,81.23,4,7
5.14,45.08,14,5
3.03,41.01,15,7
2.6,88.79,21,6
4.03,52.53,11,7
2.25,48.87,6,4
3.52,61.09,10,5
5.61,57.77,9,4
3.61,34.52,6,6
2.34,76.74,11,7
6.89,68.12,5,5
3.96,88.11,5,10
2.51,55.6,15,4
2.94,73.38,20,4
3.09,48.16,12,10
2.66,65.94,7,9
3.8,30.85,18,4
4.45,69.8,9,6
2.18,41.95,19,7
3.46,84.18,14,8
4.88,59.51,4,6
3.49,45.75,4,5
2.21,65.42,8,4
3.77,69.26,7,7
2.64,44.37,17,6
3.07,84.7,22,6
2.91,36.81,10,8
2.49,77.14,5,9
3.93,49.67,15,7
4.32,88.53,11,4
2.36,53.31,21,10
4.74,40.68,6,4
2.22,87.33,15,8
4.2,55.86,5,6
2.63,52.22,12,9
3.05,62.55,6,10
3.22,59.66,13,4
2.79,69.99,18,5
3.89,41.35,9,10
2.05,30.22,8,6
3.33,79.89,12,6
5.65,71.51,5,4
4.86,64.56,6,5
3.3,32.28,14,10
2.03,81.93,19,9
4.43,46.73,10,4
3.82,85.56,16,6
2.82,58.07,7,8
3.25,68.42,11,8
2.98,50.51,18,5
2.55,60.86,13,6
4.08,35.95,4,8
2.3,39.84,13,5
3.58,89.49,8,4
5.55,33.75,7,4
3.66,54.9,9,6
2.39,74.55,4,5
4.23,38.64,14,7
2.46,34.75,22,4
2.89,75.1,18,5
3.15,42.19,5,9
2.72,82.54,10,10
4.5,78.91,6,7
2.13,47.46,16,8
3.4,67.11,21,8
7.66,52.82,4,4
4.93,31.08,11,6
3.4,42.33,15,7
2.13,82.66,20,6
2.72,47.55,6,4
3.15,67.22,11,5
5.84,88.84,4,6
5.29,86.35,8,4
2.89,55.0,19,9
2.46,74.66,14,10
4.02,38.5,4,5
2.39,34.89,12,8
3.66,75.23,8,7
3.58,50.41,9,10
2.3,60.75,5,10
4.17,36.09,13,4
4.08,72.11,13,5
2.55,39.7,22,7
2.97,89.36,17,8
5.35,54.26,8,6
5.98,55.52,12,4
3.25,32.14,6,6
2.82,81.81,10,7
6.4,73.31,7,5
2.03,57.98,16,5
3.3,68.31,20,4
3.33,59.55,4,8
2.06,69.9,9,7
3.89,66.24,8,4
2.8,30.1,17,9
5.17,48.41,13,5
6.17,46.39,7,5
3.05,37.54,10,4
2.63,87.19,6,4
2.22,52.11,21,7
3.5,62.45,15,6
4.63,33.91,7,8
2.36,77.28,15,4
4.31,49.56,5,9
6.49,31.44,5,4
2.49,53.42,11,6
2.91,73.07,6,7
5.05,80.95,4,6
3.06,45.86,14,7
2.64,65.51,19,8
3.77,33.12,9,6
2.21,44.49,7,10
3.49,84.84,12,9
2.18,66.05,17,6
4.45,30.7,7,8
2.67,42.1,8,5
3.1,84.31,4,4
5.24,62.13,6,5
2.94,34.65,16,10
2.51,76.86,21,9
3.96,51.85,11,4
4.29,87.99,15,6
2.34,55.7,5,8
3.61,73.49,10,9
3.52,40.88,7,9
2.25,88.67,12,10
4.02,77.53,5,7
2.6,48.78,15,9
3.03,60.99,19,8
7.29,58.89,7,4
6.03,35.07,5,5
3.19,56.33,12,6
2.77,68.54,8,6
6.45,75.4,10,4
3.87,44.71,17,7
2.08,33.31,18,4
3.36,81.1,13,5
3.28,31.74,11,8
2.0,79.51,7,8
3.84,83.4,10,5
2.85,58.37,19,10
3.27,70.6,14,9
5.12,43.12,6,4
3.0,50.94,8,5
2.58,63.16,13,4
4.15,74.5,4,7
2.27,39.18,13,5
3.55,86.96,18,6
3.69,53.65,18,4
2.41,71.43,22,5
2.44,36.23,4,6
2.86,78.45,9,5
6.12,70.19,7,4
3.12,43.79,21,8
2.7,86.01,16,8
3.71,57.23,6,6
2.16,46.1,10,9
3.43,63.87,5,10
3.42,56.11,10,5
2.14,73.9,5,4
3.7,62.77,12,7
2.71,34.01,20,5
3.13,76.22,16,6
2.87,41.57,4,8
2.45,83.78,9,8
3.97,59.94,18,7
4.28,80.14,8,5
2.4,48.55,17,10
4.7,30.41,13,4
4.56,65.2,4,7
3.57,33.02,14,8
2.29,80.81,19,8
4.14,45.47,8,6
4.11,84.46,17,4
2.56,56.86,8,9
2.98,69.07,12,10
3.26,49.42,20,4
2.84,61.63,15,5
3.85,36.61,5,10
6.99,47.2,4,4
2.02,40.47,11,6
3.29,88.26,6,5
5.72,66.86,9,4
4.79,74.8,9,4
2.1,86.67,14,9
4.36,55.09,4,4
2.75,51.47,12,8
3.18,63.69,7,9
5.31,82.76,5,7
3.01,59.02,15,6
2.58,71.24,20,6
4.04,42.47,10,8
2.26,31.33,6,5
3.54,79.1,11,4
5.47,72.25,5,6
5.59,38.36,12,5
3.6,46.51,6,6
2.33,64.28,10,6
6.87,88.01,7,4
3.95,68.17,7,9
2.53,43.14,15,4
2.96,85.37,21,5
3.11,35.7,9,9
2.68,77.92,4,10
3.79,50.32,14,4
2.17,53.94,21,9
3.44,71.72,17,8
4.89,39.56,8,6
5.73,57.15,9,5
3.47,35.18,8,4
2.19,75.52,13,5
3.75,86.87,5,9
2.66,54.47,13,7
3.08,74.13,18,6
2.92,46.91,12,8
2.5,66.57,7,7
3.92,31.59,16,6
4.33,70.45,10,4
2.35,42.74,19,9
4.75,58.3,5,5
4.61,86.09,11,6
7.76,62.48,4,4
2.23,67.9,16,8
4.19,43.94,6,6
2.62,32.79,10,10
3.04,82.46,5,9
3.2,40.23,17,4
2.78,89.89,22,4
2.07,50.12,4,6
3.35,60.46,9,7
5.66,83.49,7,5
4.85,76.49,6,4
2.04,62.04,21,10
4.42,34.33,11,5
3.83,73.16,15,6
2.8,38.18,5,8
3.23,87.84,10,7
2.96,30.63,22,7
2.53,80.28,18,6
4.09,47.88,7,8
2.32,59.26,9,4
3.59,69.61,4,5
5.54,51.29,5,4
3.65,44.78,13,6
2.38,85.13,8,7
2.47,45.33,18,5
2.9,64.98,13,4
3.16,52.78,7,10
2.73,72.43,11,9
4.52,61.31,6,5
2.12,37.34,14,7
3.39,77.69,19,8
3.39,49.01,6,7
2.11,61.23,11,8
3.73,72.57,5,5
2.74,41.12,15,10
5.01,52.86,10,4
6.11,55.06,6,6
2.89,33.55,12,5
2.47,81.33,7,4
4.26,85.22,9,8
2.38,56.56,18,6
3.66,68.78,14,7
4.68,44.93,4,8
2.31,84.08,17,5
6.65,39.65,6,5
2.54,48.03,9,7
2.97,65.81,4,6
6.23,89.3,11,4
5.1,87.75,7,7
3.22,55.47,16,8
2.8,73.24,21,7
3.82,38.04,11,5
4.43,61.9,14,4
2.05,34.41,6,9
3.33,76.64,10,10
4.77,60.31,8,7
3.35,36.47,17,6
2.08,78.68,22,7
2.77,53.88,5,5
3.2,71.67,9,4
6.0,79.7,6,5
5.34,82.36,12,5
2.62,64.11,16,9
4.07,32.64,7,4
2.23,44.03,11,7
3.5,86.24,5,8
4.61,57.48,14,6
3.63,58.15,11,9
2.36,70.36,6,10
4.33,42.89,16,5
3.92,66.72,10,6
2.49,31.5,20,8
2.92,79.29,15,7
5.19,47.0,5,6
3.09,38.94,7,7
2.66,86.73,12,6
6.35,65.57,6,4
2.19,50.71,14,4
3.46,62.92,19,4
3.44,39.47,9,9
2.16,89.12,4,8
4.46,54.04,14,6
3.79,78.01,12,4
2.69,50.17,22,9
5.07,35.85,7,4
2.95,57.74,5,4
2.52,68.08,10,5
4.31,64.42,6,8
2.33,31.92,16,6
3.53,47.79,14,5
2.25,67.44,19,4
4.04,71.1,15,7
6.6,48.83,8,4
2.6,42.56,7,6
3.02,82.9,11,6
6.17,61.05,4,5
5.15,63.54,9,6
7.47,85.05,6,4
3.17,35.12,18,8
2.75,75.47,13,9
3.87,51.37,4,7
2.1,55.24,13,10
3.38,74.89,8,9
3.3,53.18,19,6
2.03,72.84,15,5
4.4,40.31,5,7
2.83,36.71,12,4
3.25,77.04,7,5
5.4,68.92,4,4
2.99,44.26,13,9
2.57,84.6,18,10
4.12,56.78,9,5
2.28,45.62,8,8
3.55,65.28,13,8
4.71,66.49,14,5
