R,A,CC,VC
3.21,50.8,22,4
5.72,71.07,12,4
3.98,59.62,19,7
3.03,75.87,15,5
4.99,47.1,14,5
2.21,65.62,13,4
2.9,56.3,12,5
3.07,85.14,19,6
2.39,32.94,20,6
3.63,62.95,16,5
3.81,35.6,10,4
2.86,69.85,20,8
4.5,86.28,15,5
5.18,73.07,12,4
2.14,81.4,15,6
3.79,60.33,20,7
3.42,69.37,16,4
2.67,45.05,22,5
3.57,75.04,19,5
2.92,84.07,21,8
7.47,78.78,10,4
2.19,30.34,17,7
4.84,74.2,13,5
3.07,49.97,19,8
3.98,84.57,15,4
3.43,57.11,21,5
4.17,64.78,17,6
2.55,87.12,18,5
3.28,34.79,21,6
2.75,63.53,14,5
2.0,54.56,12,4
5.06,31.0,15,6
4.61,43.91,15,6
2.05,61.57,19,8
2.79,52.84,20,7
3.69,46.85,17,4
2.46,76.87,21,4
3.18,37.55,18,5
2.28,51.69,14,5
4.97,41.25,11,4
2.96,32.06,15,4
3.15,64.61,22,5
2.41,57.29,16,6
3.66,87.28,20,6
3.82,56.03,13,4
2.11,42.47,21,8
4.57,62.07,12,4
2.1,83.64,18,4
2.84,30.73,21,5
3.65,38.79,19,7
3.36,65.71,15,6
2.64,59.92,11,5
5.32,34.49,14,4
2.42,68.81,22,8
6.57,64.5,10,4
3.14,45.55,17,7
3.52,89.94,14,6
4.0,80.45,16,6
3.48,47.87,10,4
2.46,35.18,18,8
4.21,70.31,16,4
2.59,77.85,13,5
3.32,40.29,12,4
2.78,71.39,19,5
2.07,50.48,19,6
4.66,31.11,16,4
3.75,58.24,15,6
2.53,38.05,20,7
3.24,37.42,13,5
3.44,68.03,17,7
6.23,56.99,10,4
3.05,61.14,19,4
2.32,53.23,19,5
2.18,78.89,22,5
2.93,42.98,17,6
3.1,70.35,11,5
2.37,47.79,15,4
4.35,40.37,14,5
3.41,57.68,22,8
3.61,77.81,12,4
3.8,48.87,18,5
2.89,85.64,16,7
2.18,66.61,21,5
2.85,59.04,18,4
2.7,31.72,14,6
4.28,52.63,15,5
2.39,81.9,19,7
3.08,43.75,20,7
4.11,36.61,17,5
3.99,71.18,19,5
3.45,42.37,13,4
2.53,55.99,21,9
4.16,79.47,12,5
5.21,80.71,13,5
2.57,72.38,10,4
3.25,49.47,15,4
2.73,76.97,22,6
2.03,41.17,16,5
3.91,66.55,19,4
3.72,30.13,12,5
3.3,74.39,21,7
2.61,51.25,17,7
5.47,85.34,13,4
4.19,44.41,18,7
2.48,60.13,15,6
3.5,81.26,20,8
3.0,89.11,16,4
2.29,36.54,22,4
2.26,69.47,18,6
2.94,48.67,21,6
3.13,79.88,14,4
2.43,41.97,12,4
4.36,49.87,11,4
3.69,71.96,15,5
4.55,39.57,16,4
2.12,64.98,18,8
2.81,56.95,21,9
3.69,49.78,16,6
2.42,79.8,20,6
3.13,42.13,19,5
2.94,69.56,13,4
2.26,48.52,13,5
4.95,63.76,14,4
2.29,89.18,11,5
3.0,36.39,14,6
5.67,58.07,12,5
3.16,60.06,21,5
2.48,54.37,17,4
3.72,84.35,20,4
3.91,59.21,14,5
2.77,75.35,16,7
6.9,33.77,11,4
2.07,39.08,22,8
5.04,68.51,12,5
2.03,77.06,15,4
2.72,41.02,10,4
3.25,72.3,17,6
2.58,49.63,21,6
3.45,79.6,18,5
3.99,47.07,11,4
3.04,87.48,22,9
4.68,71.04,14,5
2.22,67.85,21,7
2.89,46.58,18,7
4.12,88.91,16,6
4.28,61.85,17,4
2.7,82.56,19,4
3.39,31.87,20,4
5.9,86.26,10,4
3.8,37.83,17,7
2.85,66.68,13,6
4.51,48.79,13,4
2.13,85.74,21,9
3.8,73.11,13,4
3.61,40.45,20,6
2.37,70.44,17,5
3.1,47.65,22,6
2.93,78.8,16,5
2.18,43.11,10,4
4.88,51.44,13,5
5.0,84.61,11,4
2.33,61.04,14,6
3.05,53.37,11,5
3.24,88.31,18,4
2.49,37.27,20,5
3.75,67.29,17,4
2.74,73.49,19,8
2.01,52.1,19,7
4.66,83.36,15,6
2.06,71.3,11,5
2.78,50.61,14,4
3.33,77.94,20,5
2.59,40.15,18,6
4.21,47.95,17,5
3.48,70.15,21,6
4.01,41.29,15,4
2.29,54.85,19,8
4.76,80.61,11,4
2.97,44.6,22,7
3.51,35.82,19,4
2.64,65.81,22,4
3.36,59.77,17,5
5.83,62.11,13,4
2.1,30.87,16,5
5.16,56.07,12,4
3.83,61.99,18,6
3.66,34.45,11,5
3.37,70.99,22,9
4.39,87.37,14,4
2.41,64.48,14,5
3.15,57.39,11,4
3.53,77.17,19,8
2.96,86.16,17,5
2.24,31.97,21,6
2.27,74.04,19,4
3.01,51.6,20,5
6.19,70.27,10,4
2.47,37.65,13,5
2.6,88.74,21,8
3.31,36.89,18,7
3.69,67.62,16,5
4.61,81.62,16,4
2.0,63.66,20,5
2.75,54.47,19,6
3.27,86.98,13,5
2.55,34.89,13,4
4.17,56.95,16,4
3.23,39.64,21,8
3.43,64.87,10,4
3.97,33.69,17,6
3.58,39.21,14,6
2.36,59.39,22,7
5.37,77.77,14,5
3.42,45.15,15,5
3.62,89.41,18,7
6.06,40.33,12,4
2.88,81.54,21,4
2.15,44.09,17,5
3.62,55.3,14,4
2.4,85.3,11,4
3.07,32.85,14,4
2.9,65.47,20,6
2.21,56.39,18,6
2.35,75.72,22,4
3.02,38.63,17,4
3.46,30.54,20,7
2.52,50.73,16,6
5.53,42.39,12,5
4.45,44.93,13,5
2.56,60.54,18,7
7.16,49.51,10,4
3.26,53.81,21,7
3.94,45.71,19,5
2.08,87.97,17,6
2.77,33.89,22,5
3.31,62.8,16,4
4.18,32.8,12,4
2.47,72.68,22,8
3.51,85.36,13,5
4.09,76.12,17,4
3.12,83.04,20,7
2.44,31.31,19,8
4.24,73.23,15,6
5.29,71.99,11,4
2.66,82.42,14,5
2.82,68.22,18,5
2.11,46.13,20,4
2.12,88.58,14,5
2.81,37.08,12,4
3.33,61.24,18,5
2.66,53.09,21,6
3.54,83.1,17,6
4.08,58.58,11,5
4.76,67.07,15,4
2.31,63.82,21,7
6.68,69.11,10,4
2.98,58.02,17,7
4.02,77.45,13,5
3.5,49.01,20,4
2.61,78.99,16,4
3.3,42.85,22,5
5.81,75.29,13,5
2.76,70.71,15,6
5.08,39.14,13,4
4.64,36.08,13,5
2.72,45.89,21,9
3.94,89.57,12,4
3.77,53.75,19,5
2.52,83.74,22,6
3.22,30.59,16,6
3.03,66.08,10,4
2.35,59.58,15,4
4.98,34.39,12,5
4.86,67.79,15,5
2.91,39.95,14,6
4.13,65.53,17,7
5.59,46.64,10,4
3.08,71.49,21,4
2.39,50.35,18,4
3.82,48.2,15,6
2.87,86.32,19,7
6.81,37.77,11,4
2.16,35.52,20,7
5.19,85.68,14,5
2.16,60.24,11,4
2.87,54.09,15,5
3.41,89.47,22,6
2.67,36.21,17,5
3.57,66.19,21,6
4.09,30.26,14,4
2.2,51.39,22,9
4.84,84.11,12,4
4.7,50.0,15,6
2.32,84.55,18,7
3.06,33.63,20,8
3.43,39.82,16,4
2.55,69.84,20,5
3.27,48.34,18,4
2.75,79.98,12,5
2.01,41.84,13,6
4.6,52.76,10,4
2.05,81.79,20,8
3.89,61.61,15,5
4.43,88.69,16,6
2.46,66.97,19,6
3.19,58.71,19,5
3.02,82.74,13,4
2.27,31.59,12,5
4.92,81.04,11,4
2.23,72.49,15,5
3.15,77.34,17,5
2.4,40.84,21,4
3.66,70.81,18,4
3.83,42.5,12,5
2.83,62.05,22,7
4.57,79.36,14,6
2.09,74.67,22,6
2.84,50.93,16,5
3.37,75.51,10,4
2.64,38.89,15,5
4.26,45.52,13,4
3.14,35.64,21,9
3.52,68.89,12,4
3.49,35.26,15,6
3.2,70.22,19,7
6.52,58.83,11,4
2.44,47.89,20,8
5.28,88.8,14,4
2.58,65.26,12,5
3.33,56.64,14,6
3.71,77.88,17,7
5.96,36.83,11,4
2.78,85.04,21,5
2.06,33.07,18,4
3.91,73.43,18,6
3.75,38.02,11,4
3.28,67.46,20,8
4.48,76.39,15,4
2.5,68.01,14,4
3.24,46.39,12,5
3.43,88.13,22,9
3.05,82.17,18,6
2.33,43.43,21,5
2.19,62.54,16,5
2.93,55.57,22,4
3.56,47.71,18,7
3.09,87.76,16,5
5.41,59.33,13,5
2.69,77.72,21,7
3.79,32.53,19,4
2.17,76.5,19,6
2.85,37.88,20,6
3.4,73.79,13,4
2.69,51.82,12,4
3.6,81.8,15,4
4.0,87.65,18,5
3.21,79.55,22,7
2.52,42.33,17,7
4.15,62.17,14,5
2.57,85.92,15,6
3.76,72.36,20,7
2.73,64.25,17,4
2.02,57.63,22,4
2.07,66.47,16,7
3.72,51.28,14,5
2.62,30.21,22,8
4.42,74.3,12,4
2.48,81.29,11,5
3.16,44.33,15,4
3.49,60.23,19,8
2.99,69.0,21,5
2.3,45.38,18,6
2.27,86.75,19,4
2.94,35.13,19,4
3.54,42.06,21,8
2.43,54.69,13,5
4.23,79.86,17,7
5.44,31.37,10,4
4.37,33.4,15,6
2.66,72.05,18,8
3.35,49.84,20,7
3.85,56.78,16,4
2.13,72.09,15,4
3.35,78.55,16,6
2.65,39.58,22,5
3.55,69.61,19,6
4.07,42.08,12,4
2.94,63.37,21,8
4.78,79.75,13,5
2.3,81.13,20,7
2.99,44.5,19,8
4.04,60.0,15,6
4.2,89.23,17,4
2.62,66.42,18,5
3.29,59.21,21,4
5.81,62.65,11,4
3.9,51.15,17,7
2.77,84.34,14,5
5.09,55.45,14,4
4.62,49.58,15,4
2.02,85.87,19,8
3.95,72.25,11,4
3.77,41.07,18,6
2.52,71.05,21,6
3.21,47.08,18,5
3.45,87.43,16,7
3.04,79.6,12,4
2.34,42.27,14,5
4.85,85.15,13,4
2.9,52.52,16,6
4.12,82.03,18,7
5.6,32.95,13,5
3.09,88.92,22,5
2.38,36.71,16,4
3.64,66.73,19,4
2.85,73.63,17,7
6.82,55.15,10,4
2.17,52.0,21,8
2.14,77.67,12,4
2.88,40.47,13,4
3.41,73.09,20,6
2.69,48.77,19,6
4.31,43.07,16,5
4.1,47.69,15,5
4.83,70.47,10,4
2.33,68.16,17,7
3.05,46.19,22,7
3.96,88.35,12,5
3.44,53.33,18,4
2.54,83.34,22,4
3.28,31.02,17,4
2.02,58.34,15,6
5.05,34.78,11,4
4.61,40.19,12,5
2.06,65.29,22,9
3.87,77.98,14,4
2.45,80.59,17,5
3.2,41.27,21,6
3.01,70.17,15,5
2.28,47.97,11,4
4.96,37.53,14,5
2.23,89.81,13,6
2.98,35.84,12,5
3.14,60.84,19,4
2.41,53.52,19,5
3.65,83.51,16,5
2.84,75.67,20,8
2.09,38.69,18,7
4.56,65.85,15,5
2.11,87.42,21,5
2.83,34.51,18,6
3.37,61.94,12,5
2.62,56.14,14,4
4.25,31.96,15,5
3.16,49.33,20,8
3.53,86.16,11,4
4.05,57.39,17,5
6.53,41.39,10,4
2.46,31.46,21,7
4.22,74.03,12,5
5.27,71.38,13,5
3.32,44.0,15,5
3.7,61.44,18,7
2.8,67.67,22,4
2.05,46.75,16,5
3.93,86.99,19,6
3.73,54.46,12,5
4.48,63.66,13,4
2.51,84.44,16,4
3.23,33.64,10,4
3.43,71.81,20,8
3.06,64.92,16,6
2.32,57.01,22,6
2.2,75.17,18,4
2.91,39.26,20,4
3.1,74.07,14,6
2.67,60.47,20,7
6.29,72.97,11,4
3.41,53.96,19,7
3.61,81.53,15,5
2.16,62.82,17,6
2.86,55.26,22,5
3.38,86.41,15,4
2.7,35.5,11,5
4.28,56.41,12,4
2.39,78.11,22,8
3.59,65.49,14,4
2.2,50.2,16,7
3.98,74.9,16,4
3.22,65.87,20,7
2.52,59.72,18,8
4.14,75.75,15,6
5.22,76.99,10,4
4.45,35.88,17,7
2.56,68.66,13,5
2.72,80.69,18,5
2.04,44.9,20,4
4.6,55.33,16,6
3.72,33.91,15,4
4.41,87.99,10,4
2.48,63.91,12,4
3.17,58.0,13,5
2.98,85.32,19,6
2.31,32.76,19,5
2.25,73.19,21,5
2.95,52.4,17,4
3.54,58.38,20,7
3.12,76.16,11,5
2.44,38.25,15,6
5.43,48.69,11,4
4.37,46.15,14,6
2.66,88.37,16,7
7.05,39.47,10,4
3.34,37.22,22,8
3.86,43.2,18,5
4.54,53.13,14,4
2.82,43.26,22,8
3.87,61.28,11,4
3.67,37.05,18,5
2.44,67.05,21,5
3.12,58.56,17,6
2.95,83.13,11,5
2.25,31.27,14,4
4.94,81.19,15,4
2.3,72.87,13,6
2.98,49.03,13,5
4.03,85.5,17,7
5.69,44.45,10,4
3.18,77.42,20,4
2.47,40.68,19,5
4.4,47.41,16,4
3.9,42.88,16,6
2.77,62.59,18,8
2.08,55.51,21,7
2.04,60.63,13,5
2.72,53.77,13,4
3.26,89.55,19,5
2.56,36.06,20,6
3.46,66.05,17,6
3.98,30.63,10,4
3.03,74.85,21,9
2.35,50.76,18,8
4.68,83.78,16,4
2.21,85.09,22,8
6.76,81.97,11,4
2.9,33.01,16,7
4.13,71.53,14,6
3.58,39.91,20,4
2.71,69.92,17,4
3.38,48.18,21,5
5.89,73.69,12,5
3.82,55.09,18,7
2.86,80.37,15,6
5.17,51.95,14,4
4.53,36.15,11,4
3.79,89.42,15,5
3.62,54.14,21,6
4.34,60.29,17,5
2.36,84.11,18,6
3.11,30.27,20,6
2.92,66.18,14,4
2.19,59.44,11,4
4.87,34.0,15,6
5.02,68.1,12,4
2.31,78.31,16,6
5.7,46.25,13,5
3.23,71.87,17,4
2.5,50.01,22,4
3.74,80.04,19,4
3.93,48.29,13,5
2.75,87.16,21,7
2.0,34.72,18,7
5.11,65.35,13,5
2.05,88.68,10,4
2.79,36.94,16,5
3.31,61.61,22,6
2.6,52.77,17,5
3.47,82.79,20,5
4.01,58.65,14,4
2.27,37.59,22,9
4.74,66.92,12,5
4.8,40.79,15,5
2.24,64.66,19,7
2.96,57.22,20,8
3.53,49.39,17,5
2.63,79.37,20,4
3.37,42.51,18,4
2.83,70.81,11,5
2.11,47.31,14,6
3.84,75.49,16,5
3.65,50.96,10,4
4.4,74.69,16,5
2.42,80.97,13,4
3.13,44.7,13,5
2.97,68.86,19,6
2.23,45.48,20,5
2.29,86.61,17,5
3.0,35.22,21,4
6.18,82.91,12,4
3.48,41.45,19,7
3.19,63.09,14,6
4.43,33.09,12,5
2.59,71.43,22,7
6.38,61.5,11,4
3.33,50.4,16,7
3.7,85.06,14,6
2.01,76.36,21,6
2.74,37.98,17,6
3.76,31.07,20,8
3.29,73.47,10,4
2.54,52.19,15,4
4.16,43.46,14,4
3.24,53.27,22,9
3.44,82.19,11,5
3.97,46.37,18,6
3.56,55.59,16,5
3.1,78.93,18,7
2.37,42.9,21,7
2.89,64.11,20,4
2.14,57.72,19,4
3.8,73.8,20,6
3.64,37.88,13,4
2.7,59.0,21,8
4.32,76.49,13,4
3.08,46.47,16,4
2.89,81.85,22,5
2.22,43.83,17,6
2.34,62.23,20,4
3.04,55.95,18,5
3.45,46.91,22,7
2.53,34.23,14,5
5.52,59.66,11,4
4.47,57.63,15,6
2.58,76.93,19,8
3.25,41.25,19,7
3.95,32.2,17,4
2.07,74.35,18,5
2.77,51.33,20,6
3.3,75.36,14,5
2.62,38.97,11,4
3.16,36.5,19,8
3.5,68.99,15,4
3.13,69.43,22,8
7.28,67.17,10,4
2.42,48.75,17,7
4.23,86.74,14,5
5.3,88.43,12,4
2.65,65.1,16,6
2.81,84.73,17,4
2.12,33.45,22,5
5.11,61.26,14,4
2.81,33.3,15,5
3.85,72.18,19,7
5.86,53.11,11,4
3.35,65.02,21,4
2.65,56.88,18,5
4.23,35.03,18,4
3.55,86.89,21,4
4.07,54.8,14,6
2.26,42.17,22,7
4.71,44.42,16,4
3.0,54.3,20,8
4.04,81.16,10,4
3.5,45.28,16,6
2.61,75.27,19,5
3.3,39.12,19,6
2.78,74.43,12,5
2.07,51.17,13,4
2.03,72.23,20,8
2.73,49.67,18,7
3.95,85.79,15,6
4.46,64.39,16,5
2.53,87.52,19,4
3.21,34.37,19,5
5.72,83.76,10,4
2.34,55.8,12,5
2.22,81.93,15,5
2.89,43.67,11,4
3.08,67.77,17,5
2.39,46.62,22,6
3.64,76.63,18,6
3.81,51.92,12,4
2.85,82.6,22,9
4.51,73.66,14,4
5.19,89.46,10,4
2.14,64.01,14,5
3.41,85.69,18,4
2.68,32.43,21,4
3.57,62.41,18,4
4.11,34.04,11,5
2.93,70.51,20,7
2.18,47.61,19,8
4.82,87.88,15,6
4.7,46.28,12,4
2.32,88.27,21,8
3.96,68.14,13,5
3.44,43.54,19,6
2.54,73.56,16,6
3.29,52.06,22,6
5.75,69.82,12,5
2.74,76.27,15,4
2.02,38.12,10,5
4.62,56.54,13,5
2.06,78.01,17,7
7.61,36.96,10,4
2.78,40.1,21,7
3.7,33.16,19,5
2.45,63.19,22,4
3.19,54.93,16,4
5.66,66.96,13,4
2.28,35.37,15,6
4.96,58.69,13,5
4.93,77.32,14,5
2.23,68.77,12,4
2.97,45.62,14,4
3.14,81.06,21,6
2.42,44.56,18,6
4.4,51.04,17,6
3.84,38.78,15,4
2.1,59.85,20,9
2.11,70.95,19,4
2.82,47.22,19,4
6.0,74.65,10,4
3.66,56.24,17,7
2.41,86.24,20,7
3.14,31.93,18,7
3.52,72.62,15,6
3.02,37.69,16,7
4.02,66.84,18,5
3.47,31.48,12,4
3.18,73.99,22,9
4.22,82.87,14,5
2.6,61.48,15,4
3.32,52.86,11,4
2.79,88.82,18,6
2.05,36.85,21,6
3.74,41.74,14,5
3.28,63.74,17,7
6.44,52.17,11,4
2.55,54.42,22,7
3.23,50.11,15,6
3.43,84.41,19,8
3.06,78.45,22,5
2.31,39.71,17,4
2.19,66.31,20,6
2.92,59.35,19,5
3.57,51.48,21,8
3.11,83.98,12,4
2.36,30.36,13,4
4.34,53.98,15,4
3.78,36.31,16,6
2.16,80.22,22,4
2.86,41.6,16,5
3.63,35.42,20,8
2.71,48.1,15,5
5.34,37.9,12,4
3.07,56.43,21,7
3.58,78.08,12,5
3.46,59.68,15,5
2.52,38.56,20,8
4.14,65.95,11,4
2.56,89.71,12,5
3.26,35.97,14,4
2.71,60.47,21,5
2.04,53.85,18,6
3.9,79.13,17,4
3.31,87.89,20,8
2.61,33.93,19,7
4.4,70.58,15,6
4.18,57.92,17,7
2.47,77.57,14,6
3.17,40.6,12,5
2.99,72.72,18,4
2.31,49.1,21,5
2.25,82.97,16,5
2.95,31.35,22,6
3.12,67.21,15,5
2.43,58.47,10,4
5.43,35.15,13,5
4.37,37.18,12,4
2.66,68.27,21,9
3.68,88.45,13,4
2.12,61.2,22,7
3.67,46.0,20,4
2.44,76.02,17,5
3.11,38.35,22,4
5.62,79.78,12,4
4.08,31.17,18,7
2.95,73.34,16,5
4.91,42.11,13,5
2.31,85.46,14,4
2.98,32.67,11,5
3.17,63.78,18,6
2.47,58.09,20,5
3.73,88.07,17,6
3.89,55.49,10,4
2.76,79.07,20,8
4.6,62.69,15,4
5.03,72.28,15,4
2.03,80.84,11,5
2.72,44.8,14,6
5.78,49.61,11,4
3.26,68.52,20,5
2.56,45.85,18,4
4.14,38.5,17,5
3.46,75.82,21,4
3.99,50.86,14,5
3.03,83.7,19,7
2.35,30.67,19,8
4.8,32.99,13,4
2.91,50.3,21,9
4.13,85.19,13,5
3.58,56.25,19,6
2.7,86.28,22,6
3.39,35.59,16,5
2.86,62.96,10,4
2.16,55.17,16,5
4.53,45.01,16,6
2.15,89.51,18,7
2.87,36.13,21,7
3.61,44.23,17,4
2.36,74.22,20,4
3.1,51.43,19,5
2.2,39.33,13,6
4.88,47.67,10,4
2.32,64.76,10,4
3.06,57.09,15,4
5.69,37.29,12,5
3.22,84.59,21,5
2.51,33.55,17,6
3.74,63.57,20,6
3.93,34.76,14,5
2.01,48.38,22,9
4.65,87.08,11,4
5.11,77.95,12,5
2.05,67.52,14,6
3.88,88.64,19,7
3.32,81.72,17,4
2.59,43.93,21,4
3.47,73.93,18,5
3.02,67.01,22,7
2.27,58.63,16,7
4.74,76.83,14,5
4.06,64.58,16,4
4.25,86.07,17,6
2.63,62.09,19,6
3.38,56.06,20,6
2.83,87.26,13,4
2.1,34.59,13,4
3.65,30.73,15,6
3.36,74.71,18,7
2.64,50.86,20,7
3.14,53.67,14,6
3.52,80.89,16,7
6.15,31.98,11,4
2.97,89.88,20,4
2.22,35.69,18,4
2.28,70.26,22,6
3.01,47.81,17,6
3.2,80.5,10,4
2.45,41.42,16,4
5.5,51.61,12,5
4.43,50.48,13,5
3.33,33.11,22,9
3.71,71.4,12,4
3.88,40.28,19,5
2.02,67.39,16,4
2.74,58.19,22,4
5.92,63.68,12,5
3.28,83.26,16,6
5.24,54.48,13,4
